n_clusters,silhouette_score
2,0.5461541414260864
3,0.5545997023582458
4,0.5659200549125671
5,0.5327870845794678
6,0.5115131139755249
7,0.5135949850082397
8,0.5210051536560059
9,0.4977131485939026
10,0.49996498227119446
