n_clusters,silhouette_score
2,0.5989425182342529
3,0.6773735880851746
4,0.6709412336349487
5,0.6521528363227844
6,0.658527135848999
7,0.6363903284072876
8,0.5904235243797302
9,0.5895771384239197
10,0.605619490146637
