num_models,ari,nmi,centroid_shift
1,,,
2,,,
3,0.0,0.7336804366512112,0.0685248002409935
4,0.3333333333333333,0.7020168761809934,0.0755038782954216
5,0.2857142857142857,0.6434709124204981,0.08018156886100769
6,0.3076923076923077,0.6163773591245547,0.06568825989961624
7,0.3333333333333333,0.6005439318490571,0.06461263447999954
8,0.3548387096774194,0.5900742796993583,0.06562452763319016
9,0.25,0.5310297129125241,0.07327821850776672
10,1.0,1.0,0.014925460331141949
11,1.0,1.0,0.014631281606853008
12,1.0,1.0,0.014541695825755596
13,1.0,1.0,0.00854171346873045
14,1.0,1.0,0.011730343103408813
15,1.0,1.0,0.010767062194645405
16,1.0,1.0,0.011388838291168213
17,1.0,1.0,0.01140373945236206
18,1.0,1.0,0.008771528489887714
19,1.0,1.0,0.007650206331163645
20,0.8006295907660022,0.769669185968088,0.012701819650828838
21,0.8065173116089613,0.771626800920694,0.013820569030940533
22,0.8116898997309856,0.7734295731528339,0.014429519884288311
23,0.8162672476397966,0.7750971937372924,0.015946855768561363
24,0.8319774198904201,0.7928017677387595,0.013864685781300068
25,0.836291164468065,0.7944802828090565,0.01203454565256834
26,0.8401639344262295,0.7960433273802102,0.011510242708027363
27,0.8436581324496232,0.7975037329543055,0.010420451872050762
28,1.0,1.0,0.0005199909210205078
29,1.0,1.0,0.0006523330812342465
30,1.0,1.0,0.0
